"Sentrix_ID","Tumor_Group","Color"
"205091240046_R03C01","SS","#6F79CB"
"205111140055_R02C01","MPNST","#6F79CB"
"204963470092_R02C01","SS","green"
"204963470178_R02C01","SS","#6F79CB"
"204963470092_R05C01","MPNST","#6F79CB"
"205854120044_R03C01","SS","#6F79CB"
"205832310101_R02C01","MPNST","#6F79CB"
"205832310101_R03C01","MPNST","#6F79CB"
"205832310101_R06C01","MPNST","#6F79CB"
"205832310101_R07C01","MPNST","#6F79CB"
"205832310101_R08C01","MPNST","#6F79CB"
"205832320079_R01C01","MPNST","#6F79CB"
"205832320079_R02C01","MPNST","#6F79CB"
"205832320079_R03C01","MPNST","#6F79CB"
"205832320079_R04C01","MPNST","#6F79CB"
"205832320079_R05C01","MPNST","#6F79CB"
"205832320079_R06C01","MPNST","#6F79CB"
"205832320079_R07C01","MPNST","#6F79CB"
"205832320079_R08C01","MPNST","#6F79CB"
"205832320081_R02C01","MPNST","#6F79CB"
"205832320081_R03C01","MISC","#6F79CB"
"205832320081_R06C01","MPNST","#6F79CB"
"205832320114_R04C01","MPNST","#6F79CB"
"205832320114_R05C01","MPNST","#6F79CB"
"205832320114_R06C01","MPNST","#6F79CB"
"206137480038_R03C01","MPNST","#6F79CB"
"206137480038_R08C01","MPNST","#6F79CB"
"206103060040_R05C01","MPNST","#6F79CB"
"206154070109_R03C01","MPNST","#6F79CB"
"206535560043_R06C01","MPNST","#6F79CB"
"206535560043_R07C01","SS","#6F79CB"
"206537460134_R02C01","MPNST","#6F79CB"
"206537460134_R05C01","MPNST","#6F79CB"
"201533640009_R03C01","MRT","darkgreen"
"201533620059_R08C01","MRT","darkgreen"
"201533620059_R02C01","MRT","darkgreen"
"201533640009_R06C01","MRT","darkgreen"
"204854830041_R08C01","MRT","darkgreen"
"205125590053_R04C01","MRT","darkgreen"
"204424040098_R03C01","MRT","darkgreen"
"204854830040_R08C01","MRT","darkgreen"
"204854830041_R03C01","MRT","darkgreen"
"204854830041_R07C01","MRT","darkgreen"
"205125590003_R07C01","MRT","darkgreen"
"205707890056_R03C01","MRT","darkgreen"
"205707900118_R05C01","MRT","darkgreen"
"205854130013_R07C01","MRT","darkgreen"
"204854830041_R06C01","MRT","darkgreen"
"206139130056_R02C01","MRT","darkgreen"
"206375080042_R05C01","MRT","darkgreen"
"206375080054_R07C01","MRT","darkgreen"
"206375080055_R07C01","MRT","darkgreen"
"205772290031_R05C01","MRT","darkgreen"
"206154070146_R01C01","MRT","darkgreen"
"201247470017_R03C01","NF","#D948E1"
"201247470018_R05C01","NF","#D948E1"
"201247470017_R01C01","NF","#D948E1"
"201247470018_R03C01","NF","#D948E1"
"201247470018_R01C01","NF","#D948E1"
"201492570102_R07C01","NF","#D948E1"
"201492570102_R05C01","NF","#D948E1"
"205832320081_R01C01","NF","#D948E1"
"205832320081_R04C01","NF","#D948E1"
"204963470092_R06C01","NF","#D948E1"
"204963470111_R01C01","SS","#D948E1"
"204963470111_R02C01","NF","#D948E1"
"206537460131_R02C01","NF","#D948E1"
"206537460134_R01C01","MISC","#D948E1"
"206537460134_R03C01","NF","#D948E1"
"206537460134_R04C01","NF","#D948E1"
"206537460141_R04C01","NF","#D948E1"
"202163550163_R03C01","NB","#8DB3D7"
"202163550163_R04C01","NB","#8DB3D7"
"202163550163_R05C01","NB","#8DB3D7"
"202163550163_R06C01","NB","#8DB3D7"
"201533620011_R03C01","NB","#8DB3D7"
"202172220049_R08C01","NB","#8DB3D7"
"201533620011_R05C01","NB","#8DB3D7"
"202163550163_R01C01","NB","#8DB3D7"
"202163550163_R02C01","NB","#8DB3D7"
"202172220049_R05C01","NB","#8DB3D7"
"202172220049_R07C01","NB","#8DB3D7"
"202172220049_R01C01","NB","#8DB3D7"
"202163550088_R02C01","NB","#8DB3D7"
"202172220049_R03C01","NB","#8DB3D7"
"201533640048_R06C01","NB","#8DB3D7"
"201533640048_R07C01","NB","#8DB3D7"
"205437190087_R06C01","NB","#8DB3D7"
"201533640043_R03C01","NB","#8DB3D7"
"205437190023_R07C01","NB","#8DB3D7"
"201533640043_R06C01","NB","#8DB3D7"
"201533640043_R07C01","NB","#8DB3D7"
"201533640048_R02C01","NB","#8DB3D7"
"201533640048_R03C01","NB","#8DB3D7"
"201533640048_R04C01","NB","#8DB3D7"
"205437190045_R05C01","NB","#8DB3D7"
"205437190045_R02C01","NB","#8DB3D7"
"205437190023_R02C01","NB","#8DB3D7"
"205437190023_R08C01","NB","#8DB3D7"
"205125590043_R08C01","NB","#8DB3D7"
"205437190045_R06C01","NB","#8DB3D7"
"205437190060_R06C01","NB","#8DB3D7"
"205437190023_R01C01","NB","#8DB3D7"
"205437190060_R04C01","NB","#8DB3D7"
"205437190060_R03C01","NB","#8DB3D7"
"205437190045_R08C01","NB","#8DB3D7"
"205437190023_R04C01","NB","#8DB3D7"
"205437190045_R07C01","NB","#8DB3D7"
"205125590043_R07C01","NB","#8DB3D7"
"205437190060_R01C01","NB","#8DB3D7"
"205125590043_R01C01","NB","#8DB3D7"
"202172220049_R04C01","NB","#8DB3D7"
"202163550088_R01C01","NB","#8DB3D7"
"201533640005_R01C01","NB","#8DB3D7"
"201533640043_R05C01","NB","#8DB3D7"
"205125590043_R06C01","NB","#8DB3D7"
"204339200060_R03C01","NB","#8DB3D7"
"204339200059_R05C01","NB","#8DB3D7"
"204339200057_R02C01","NB","#8DB3D7"
"204339200059_R06C01","NB","#8DB3D7"
"204339200058_R01C01","NB","#8DB3D7"
"204339200060_R05C01","NB","#8DB3D7"
"204339200059_R08C01","NB","#8DB3D7"
"204339200059_R03C01","NB","#8DB3D7"
"204339200058_R06C01","NB","#8DB3D7"
"204339200060_R02C01","NB","#8DB3D7"
"204339200065_R01C01","NB","#8DB3D7"
"204339200059_R04C01","NB","#8DB3D7"
"204339200060_R06C01","NB","#8DB3D7"
"204339200060_R07C01","NB","#8DB3D7"
"204339200057_R06C01","NB","#8DB3D7"
"204339200057_R01C01","NB","#8DB3D7"
"204339200057_R03C01","NB","#8DB3D7"
"204339200057_R08C01","NB","#8DB3D7"
"205125590043_R03C01","NB","#8DB3D7"
"204339200058_R08C01","NB","#8DB3D7"
"204339200065_R02C01","NB","#8DB3D7"
"204339200059_R01C01","NB","#8DB3D7"
"204339200059_R07C01","NB","#8DB3D7"
"204339200058_R07C01","NB","#8DB3D7"
"204339200059_R02C01","NB","#8DB3D7"
"204339200057_R04C01","NB","#8DB3D7"
"204424030084_R02C01","NB","#8DB3D7"
"204424030115_R05C01","NB","#8DB3D7"
"204424030117_R02C01","NB","#8DB3D7"
"204424030084_R04C01","NB","#8DB3D7"
