"Sample","meth.class","meth.family","col"
"GSM2405578_3999002043_R06C02","MB, G3","MCF MB G3G4","#0581be"
"GSM2405579_3999002044_R01C01","CHGL","CHGL","#b37dec"
"GSM2405580_3999002049_R05C02","GBM, G34","GBM, G34","#55c056"
"GSM2405581_3999002049_R06C02","GBM, G34","GBM, G34","#55c056"
"GSM2405582_3999002051_R01C01","GBM, G34","GBM, G34","#55c056"
"GSM2405583_3999002051_R04C01","GBM, G34","GBM, G34","#55c056"
"GSM2405584_3999002051_R05C01","GBM, G34","GBM, G34","#55c056"
"GSM2405585_3999078084_R05C02","PITAD, FSH LH","PITAD, FSH LH","#44a199"
"GSM2405586_3999078088_R01C01","PITAD, FSH LH","PITAD, FSH LH","#44a199"
"GSM2405587_3999078088_R03C01","PITAD, FSH LH","PITAD, FSH LH","#44a199"
"GSM2405588_3999078088_R05C01","PITAD, FSH LH","PITAD, FSH LH","#44a199"
"GSM2405589_3999078088_R01C02","PITAD, FSH LH","PITAD, FSH LH","#44a199"
"GSM2405590_3999078079_R02C01","CNS NB, FOXR2","CNS NB, FOXR2","#518ccb"
"GSM2405591_3999078088_R06C02","DMG, K27","DMG, K27","#a3f187"
"GSM2405592_3999078079_R04C01","LIPN","LIPN","#de7b2c"
"GSM2405593_3999078080_R04C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405594_3999078080_R02C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405595_3999078120_R02C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405596_9993943074_R01C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405597_9993943074_R03C01","PIN T, PB A","PIN T,  PB A","#cbf5af"
"GSM2405598_9993943074_R05C01","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405599_9993943074_R06C01","PIN T, PPT","PIN T, PPT","#b4f79b"
"GSM2405600_9993943074_R02C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405601_9993943074_R04C02","PIN T, PB B","PIN T,  PB B","#b6dc95"
"GSM2405602_3999078159_R05C01","LGG, DIG DIA","LGG, DIG DIA","#cd4d00"
"GSM2405603_3999095103_R02C02","CONTR, CEBM","CONTR, CEBM","#bdbdbd"
"GSM2405604_3999095103_R03C02","CONTR, HEMI","CONTR, HEMI","#939393"
"GSM2405605_3999095104_R05C01","DLGNT","DLGNT","#d1723a"
"GSM2405606_3998523003_R01C01","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405607_3998523003_R02C01","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405608_3998523003_R03C01","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405609_3998523003_R04C01","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405610_3998523003_R05C01","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405611_3998523003_R06C01","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405612_3998523003_R01C02","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405613_3998523003_R02C02","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405614_3998523003_R03C02","CONTR, HYPTHAL","CONTR, HYPTHAL","#7e7e7e"
"GSM2405615_3999100092_R06C01","CHGL","CHGL","#b37dec"
"GSM2405616_3998523002_R03C02","LIPN","LIPN","#de7b2c"
"GSM2405617_3998523019_R04C02","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405618_3998523019_R05C02","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405619_3998523019_R06C02","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405620_3998523022_R01C01","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405621_3998523022_R02C01","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405622_3998523022_R03C01","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405623_3998523022_R04C01","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405624_3998523022_R05C01","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405625_3998523022_R06C01","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405626_3998523022_R01C02","PITAD, TSH","PITAD, TSH","#12d7c7"
"GSM2405627_3998567085_R06C02","LYMPHO","LYMPHO","#3c1b46"
"GSM2405628_3998579150_R04C01","LGG, DIG DIA","LGG, DIG DIA","#cd4d00"
"GSM2405629_3998579150_R01C02","IHG","IHG","#d0bbd8"
"GSM2405630_3998523077_R05C01","IHG","IHG","#d0bbd8"
"GSM2405631_3998579150_R01C01","LGG, DIG DIA","LGG, DIG DIA","#cd4d00"
"GSM2405632_3998568167_R05C01","MELAN","MELAN","#0b4068"
